Cat No    Artist                               Title                                       Format        | Apollo status
MR-158    Fu Manchu                            Eatin' Dust                                 CD (promo)    | represented on MR-163
MR-159    Sons of Otis                         Templeball                                  CD            | https://apollo.rip/torrents.php?id=226058
MR-160    Beaver                               Lodge                                       10"           | no artist
MR-161    Beaver                               Lodge                                       CD            | no artist
MR-162    Mass                                 Mass                                        CD            | no artst (I think)
MR-163    Fu Manchu                            Godzilla's Eatin' Dust                      LP            | https://apollo.rip/torrents.php?id=102961
MR-164    MISSING                              ---                                         ---           | ---
MR-165    MISSING                              ---                                         ---           | ---
MR-166    MISSING                              ---                                         ---           | ---
MR-167    Hammerlock                           Anthems for Outlaws                         CD            | no artist
MR-168    MISSING                              ---                                         ---           | ---
MR-169    The Robots                           The Good Times Are Killing Me               10"           | no
MR-170    The Robots                           The Day of the Robots                       CD            | https://apollo.rip/torrents.php?id=88895
MR-171    Earthlings?                          Human Beans LP #1 - Pete Stahl              LP            | no \
MR-172    Earthlings?                          Human Beans LP #2 - Dave Catching           LP            | no  |-- these three comprise one box set
MR-173    Earthlings?                          Human Beans LP #3 - Fred Drake              LP            | no /
MR-174    Goatsnake                            Goatsnake Vol. 1                            LP/CD         | https://apollo.rip/torrents.php?id=71206
MR-175    Unida                                Coping with the Urban Coyote                CD            | https://apollo.rip/torrents.php?id=36944
MR-176    Unida                                Coping with the Urban Coyote LP             ---           | no
                                                   (test pressing only)                                  |  
MR-177    Alabama Thunderpussy                 Constellation                               CD            | https://apollo.rip/torrents.php?id=35662
MR-178    Tummler                              Queen to Bishop IV                          CD            | https://apollo.rip/torrents.php?id=83100
MR-179    MISSING                              ---                                         ---           | ---
MR-180    MISSING                              ---                                         ---           | ---
MR-181    The Fuckemos                         Airshow 2000                                CD            | no artist
MR-182    Euroboys                             1999 Man                                    10"           | no artist
MR-183    Brant Bjork                          Jalamanta                                   CD            | https://apollo.rip/torrents.php?id=41434
MR-184    Hot Rod Honeys                       Horny and Hungry                            CD            | no artist
MR-185    Euroboys                             1999 Man EP                                 CD            | no artist
MR-186    Che                                  Sounds of Liberation                        CD            | https://apollo.rip/torrents.php?id=198880
MR-187    Natas                                Ciudad de Brahman                           CD            | no artist :(
MR-188    MISSING                              ---                                         ---           | ---
MR-189    Antiseen                             Southern Hostility/Eat More Possum          CD            | no
MR-190    MISSING                              ---                                         ---           | ---
MR-191    Hellstomper                          Hillbilly Motherfucker                      CD            | no artist
MR-192    The Men of Porn                      Porn, American Style                        CD            | no artist
MR-193    High on Fire                         The Art of Self Defense                     CD            | https://apollo.rip/torrents.php?id=42964
MR-194    MISSING                              ---                                         ---           | ---
MR-195    MISSING                              ---                                         ---           | ---
MR-196    Euroboys                             Long Day's Flight 'till Tomorrow CD         CD            | no artist
MR-197    Euroboys                             Long Day's Flight 'till Tomorrow 2LP        2LP           | no artist
MR-198    Sons of Otis                         SpaceJumboFudge                             CD            | no
MR-199    Earthlings?                          Human Beans                                 CD            | no
MR-200    MISSING                              ---                                         ---           | ---
MR-201    MISSING                              ---                                         ---           | ---
MR-202    Suplecs                              Wreslin' with My Lady Friend                CD            | no
MR-203    MISSING                              ---                                         ---           | ---
MR-204    Disengage                            Obsessions Become Phobias                   CD            | no
MR-205    MISSING                              ---                                         ---           | ---
MR-206    The Cutthroats 9                     The Cutthroats 9                            CD            | no artist
MR-2001   Acid King/                           Free.../                                    CD            | no
          The Mystick Krewe of Clearlight          The Father, the Son and the Holy Smoke                |     
MR-2002   The Melvins                          Electroretard                               CD            | https://apollo.rip/torrents.php?id=46531
MR-2003   The Melvins                          Electroretard                               LP            | see previous
MR-2004   Drunk Horse                          Tanning Salon/Biblical Proportions          CD            | no
MR-2005   The Heads                            Everybody Knows We Got Nowhere              CD            | can't find any info about this
MR-2006   MISSING                              ---                                         ---           | ---
MR-2007   Croatan                              Curse of the Red Queen                      CD            | no artist
